Product Name,Current Date,Current Price,Old Date,Old Price,Category
Nintendo Switch Oled Kırmızı Mavi Oyun Konsolu,09/06/2023,9999,13/10/2022,7099,oyun-konsollari
JBL Go 3 Mavi Bluetooth Hoparlör,09/06/2023,913,27/06/2022,689,bluetooth-hoparlor
Xiaomi Mi Portable Bluetooth Hoparlör,09/06/2023,899,14/06/2022,899,bluetooth-hoparlor
Powerway BOOM Bluetooth Hoparlör,09/06/2023,369,15/06/2022,299,bluetooth-hoparlor
Carraro Flexi 121 21 Vites 20 Jant Bisiklet,09/06/2023,7826,20/06/2022,7290,sehir-gezi-bisikletleri
Ümit Alanya 2610 21 Vites 26 Jant V-Fren Kadın Şehir/Gezi Bisikleti,09/06/2023,3757,18/06/2022,3005,sehir-gezi-bisikletleri
Kron TX 100 28 21 Vites 28 Jant V-Fren Unisex Şehir/Gezi Bisikleti,09/06/2023,5461,10/06/2022,4199,sehir-gezi-bisikletleri
Nivea Men Fresh Active 75 ml Erkek Sprey Deodorant,09/06/2023,64,11/06/2022,34,sprey-deodorantlar
Rexona 150 ml Women Clinical Protection Sprey Deodorant,09/06/2023,89,10/06/2022,89,sprey-deodorantlar
Axe Epic Fresh 150 ml Erkek Deodorant,09/06/2023,55,22/06/2022,41,sprey-deodorantlar
Kotex Anydays Normal 56 Adet Günlük Ped,09/06/2023,40,12/06/2022,34,hijyenik-pedler-ve-tamponlar
Orkid Günlük Normal Dev Ekonomi Paketi 80 Ped,09/06/2023,67,16/06/2022,42,hijyenik-pedler-ve-tamponlar
Molped Supernight Gece Süper Ekonomik 18'li Hijyenik Ped,09/06/2023,50,10/06/2022,29,hijyenik-pedler-ve-tamponlar
Gliss Serum Deep Repair 500 ml Şampuan,09/06/2023,38,18/06/2022,29,sampuan-ve-sac-kremi
Clear Men Cool Sport Menthol 600 ml Şampuan,09/06/2023,79,13/06/2022,44,sampuan-ve-sac-kremi
Head & Shoulders Mentol Ferahlığı 2'si 1 Arada Kepeğe Karşı Etkili 350 ml Şampuan,09/06/2023,39,09/06/2022,46,sampuan-ve-sac-kremi
Duru Fresh Okyanus Esintisi 450 ml Duş Jeli,09/06/2023,29,12/06/2022,25,dus-jelleri-ve-banyo-kopukleri
Le Petit Marseillais Ardıç Ağacı ve Fujer 400 ml Duş Jeli,09/06/2023,39,21/06/2022,22,dus-jelleri-ve-banyo-kopukleri
Palmolive Feel Massage 500 ml Duş Jeli,09/06/2023,39,15/06/2022,27,dus-jelleri-ve-banyo-kopukleri
Tombow 0.7 mm 2B 12'li Mekanik Kurşun Kalem Ucu,09/06/2023,26,13/06/2022,9,kursun-kalem-ucu-min
Rotring 0.7 mm 2B Kurşun Kalem Ucu,09/06/2023,14,10/06/2022,8,kursun-kalem-ucu-min
